;index;Produktvariante;Prozessschritt;Auftragsnummer;Prozessbeschreibung;Prozessnummer;Startdatum;Startzeit;Enddatum;Endzeit;Arbeitsstation;Transportzeit;werkstueckID
0;0;8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:02:25;12.05.2021;10:02:40;5;0;1
1;1;8010;20;1329;feed part from magazin;200;12.05.2021;10:03:07;12.05.2021;10:03:09;11;27;1
2;2;8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:04:45;12.05.2021;10:06:28;8;6;1
3;3;8010;40;1329;feed part from magazin;200;12.05.2021;10:07:27;12.05.2021;10:07:30;6;63;1
4;4;8010;50;1329;pressing for time in seconds;110;12.05.2021;10:07:43;12.05.2021;10:07:45;7;14;1
5;5;8010;60;1329;store a part from stopper 2;211;12.05.2021;10:09:49;12.05.2021;10:10:01;5;1126;1
6;6;8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:02:43;12.05.2021;10:02:56;5;0;2
7;7;8010;20;1329;feed part from magazin;200;12.05.2021;10:03:23;12.05.2021;10:03:25;11;27;2
8;8;8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:06:35;12.05.2021;10:08:18;8;6;2
9;9;8010;40;1329;feed part from magazin;200;12.05.2021;10:09:28;12.05.2021;10:09:30;6;63;2
10;10;8010;50;1329;pressing for time in seconds;110;12.05.2021;10:09:53;12.05.2021;10:09:57;7;14;2
11;11;8010;60;1329;store a part from stopper 2;211;12.05.2021;10:11:51;12.05.2021;10:12:03;5;1126;2
12;12;8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:02:59;12.05.2021;10:03:11;5;0;3
13;13;8010;20;1329;feed part from magazin;200;12.05.2021;10:03:38;12.05.2021;10:03:41;11;27;3
14;14;8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:08:22;12.05.2021;10:10:05;8;6;3
15;15;8010;40;1329;feed part from magazin;200;12.05.2021;10:11:15;12.05.2021;10:11:18;6;63;3
16;16;8010;50;1329;pressing for time in seconds;110;12.05.2021;10:11:36;12.05.2021;10:11:43;7;14;3
17;17;8010;60;1329;store a part from stopper 2;211;12.05.2021;10:13:18;12.05.2021;10:13:30;5;1126;3
18;18;8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:03:15;12.05.2021;10:03:28;5;0;4
19;19;8010;20;1329;feed part from magazin;200;12.05.2021;10:03:55;12.05.2021;10:03:57;11;27;4
20;20;8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:12:01;12.05.2021;10:13:44;8;6;4
21;21;8010;40;1329;feed part from magazin;200;12.05.2021;10:14:44;12.05.2021;10:14:46;6;63;4
22;22;8010;50;1329;pressing for time in seconds;110;12.05.2021;10:15:08;12.05.2021;10:15:12;7;14;4
23;23;8010;60;1329;store a part from stopper 2;211;12.05.2021;10:16:53;12.05.2021;10:17:06;5;1126;4
24;24;8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:03:31;12.05.2021;10:03:45;5;0;5
25;25;8010;20;1329;feed part from magazin;200;12.05.2021;10:04:12;12.05.2021;10:04:14;11;27;5
26;26;8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:14:08;12.05.2021;10:15:51;8;6;5
27;27;8010;40;1329;feed part from magazin;200;12.05.2021;10:16:41;12.05.2021;10:16:44;6;63;5
28;28;8010;50;1329;pressing for time in seconds;110;12.05.2021;10:16:57;12.05.2021;10:16:59;7;14;5
29;29;8010;60;1329;store a part from stopper 2;211;12.05.2021;10:18:40;12.05.2021;10:18:52;5;1126;5
30;30;8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:03:49;12.05.2021;10:04:02;5;0;6
31;31;8010;20;1329;feed part from magazin;200;12.05.2021;10:04:30;12.05.2021;10:04:32;11;27;6
32;32;8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:21:18;12.05.2021;10:23:01;8;6;6
33;33;8010;40;1329;feed part from magazin;200;12.05.2021;10:24:29;12.05.2021;10:24:31;6;63;6
34;34;8010;50;1329;pressing for time in seconds;110;12.05.2021;10:24:48;12.05.2021;10:24:51;7;14;6
35;35;8010;60;1329;store a part from stopper 2;211;12.05.2021;10:26:12;12.05.2021;10:26:24;5;1126;6
36;36;8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:04:06;12.05.2021;10:04:20;5;0;7
37;37;8010;20;1329;feed part from magazin;200;12.05.2021;10:04:47;12.05.2021;10:04:49;11;27;7
38;38;8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:19:30;12.05.2021;10:21:13;8;6;7
39;39;8010;40;1329;feed part from magazin;200;12.05.2021;10:21:55;12.05.2021;10:21:57;6;63;7
40;40;8010;50;1329;pressing for time in seconds;110;12.05.2021;10:22:13;12.05.2021;10:22:15;7;14;7
41;41;8010;60;1329;store a part from stopper 2;211;12.05.2021;10:23:50;12.05.2021;10:24:03;5;1126;7
42;42;8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:04:24;12.05.2021;10:04:38;5;0;8
43;43;8010;20;1329;feed part from magazin;200;12.05.2021;10:05:05;12.05.2021;10:05:07;11;27;8
44;44;8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:10:12;12.05.2021;10:11:56;8;6;8
45;45;8010;40;1329;feed part from magazin;200;12.05.2021;10:13:00;12.05.2021;10:13:02;6;63;8
46;46;8010;50;1329;pressing for time in seconds;110;12.05.2021;10:13:28;12.05.2021;10:13:30;7;14;8
47;47;8010;60;1329;store a part from stopper 2;211;12.05.2021;10:15:02;12.05.2021;10:15:14;5;1126;8
48;48;8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:04:41;12.05.2021;10:04:56;5;0;9
49;49;8010;20;1329;feed part from magazin;200;12.05.2021;10:05:23;12.05.2021;10:05:25;11;27;9
50;50;8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:17:43;12.05.2021;10:19:26;8;6;9
51;51;8010;40;1329;feed part from magazin;200;12.05.2021;10:20:09;12.05.2021;10:20:11;6;63;9
52;52;8010;50;1329;pressing for time in seconds;110;12.05.2021;10:20:26;12.05.2021;10:20:29;7;14;9
53;53;8010;60;1329;store a part from stopper 2;211;12.05.2021;10:22:35;12.05.2021;10:22:47;5;1126;9
54;54;8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:05:00;12.05.2021;10:05:15;5;0;10
55;55;8010;20;1329;feed part from magazin;200;12.05.2021;10:05:42;12.05.2021;10:05:44;11;27;10
56;56;8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:15:55;12.05.2021;10:17:38;8;6;10
57;57;8010;40;1329;feed part from magazin;200;12.05.2021;10:18:25;12.05.2021;10:18:27;6;63;10
58;58;8010;50;1329;pressing for time in seconds;110;12.05.2021;10:18:42;12.05.2021;10:18:44;7;14;10
59;59;8010;60;1329;store a part from stopper 2;211;12.05.2021;10:20:27;12.05.2021;10:20:39;5;1126;10
60;60;8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:18:10;12.05.2021;10:18:24;5;0;11
61;61;8011;20;1330;feed part from magazin;200;12.05.2021;10:18:52;12.05.2021;10:18:54;11;27;11
62;62;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:23:24;12.05.2021;10:25:15;8;6;11
63;63;8011;40;1330;feed part from magazin;200;12.05.2021;10:26:26;12.05.2021;10:26:28;6;63;11
64;64;8011;50;1330;pressing for time in seconds;110;12.05.2021;10:26:42;12.05.2021;10:26:44;7;14;11
65;65;8011;60;1330;store a part from stopper 2;211;12.05.2021;10:28:29;12.05.2021;10:28:41;5;1126;11
66;66;8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:18:53;12.05.2021;10:19:07;5;0;12
67;67;8011;20;1330;feed part from magazin;200;12.05.2021;10:19:34;12.05.2021;10:19:36;11;27;12
68;68;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:25:20;12.05.2021;10:27:11;8;6;12
69;69;8011;40;1330;feed part from magazin;200;12.05.2021;10:28:10;12.05.2021;10:28:12;6;63;12
70;70;8011;50;1330;pressing for time in seconds;110;12.05.2021;10:28:30;12.05.2021;10:28:34;7;14;12
71;71;8011;60;1330;store a part from stopper 2;211;12.05.2021;10:30:21;12.05.2021;10:30:32;5;1126;12
72;72;8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:19:11;12.05.2021;10:19:26;5;0;error
73;73;8011;20;1330;feed part from magazin;200;12.05.2021;10:19:53;12.05.2021;10:19:55;11;27;error
74;74;8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:15:05;12.05.2021;11:16:45;8;6;error
75;75;8111;40;1332;feed part from magazin;200;12.05.2021;11:17:47;12.05.2021;11:17:50;6;63;error
76;76;8111;50;1332;pressing for time in seconds;110;12.05.2021;11:18:03;12.05.2021;11:18:05;7;14;error
77;77;8111;60;1332;store a part from stopper 2;211;12.05.2021;11:19:48;12.05.2021;11:20:03;5;1126;error
78;78;8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:09:33;12.05.2021;11:09:46;5;0;15
79;79;8111;20;1332;feed part from magazin;200;12.05.2021;11:10:13;12.05.2021;11:10:15;11;27;15
80;80;8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:24:03;12.05.2021;11:25:43;8;6;15
81;81;8111;40;1332;feed part from magazin;200;12.05.2021;11:27:02;12.05.2021;11:27:04;6;63;15
82;82;8111;50;1332;pressing for time in seconds;110;12.05.2021;11:27:17;12.05.2021;11:27:19;7;14;15
83;83;8111;60;1332;store a part from stopper 2;211;12.05.2021;11:29:10;12.05.2021;11:29:22;5;1126;15
84;84;8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:10:16;12.05.2021;11:10:30;5;0;16
85;85;8111;20;1332;feed part from magazin;200;12.05.2021;11:10:56;12.05.2021;11:10:58;11;27;16
86;86;8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:16:49;12.05.2021;11:18:29;8;6;16
87;87;8111;40;1332;feed part from magazin;200;12.05.2021;11:19:30;12.05.2021;11:19:32;6;63;16
88;88;8111;50;1332;pressing for time in seconds;110;12.05.2021;11:19:45;12.05.2021;11:19:48;7;14;16
89;89;8111;60;1332;store a part from stopper 2;211;12.05.2021;11:21:39;12.05.2021;11:21:51;5;1126;16
90;90;8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:10:33;12.05.2021;11:10:47;5;0;17
91;91;8111;20;1332;feed part from magazin;200;12.05.2021;11:11:14;12.05.2021;11:11:16;11;27;17
92;92;8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:25:50;12.05.2021;11:27:29;8;6;17
93;93;8111;40;1332;feed part from magazin;200;12.05.2021;11:28:16;12.05.2021;11:28:18;6;63;17
94;94;8111;50;1332;pressing for time in seconds;110;12.05.2021;11:28:31;12.05.2021;11:28:33;7;14;17
95;95;8111;60;1332;store a part from stopper 2;211;12.05.2021;11:30:04;12.05.2021;11:30:16;5;1126;17
96;96;8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:10:57;12.05.2021;11:11:10;5;0;18
97;97;8111;20;1332;feed part from magazin;200;12.05.2021;11:11:37;12.05.2021;11:11:39;11;27;18
98;98;8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:18:33;12.05.2021;11:20:13;8;6;18
99;99;8111;40;1332;feed part from magazin;200;12.05.2021;11:21:01;12.05.2021;11:21:04;6;63;18
100;100;8111;50;1332;pressing for time in seconds;110;12.05.2021;11:21:22;12.05.2021;11:21:25;7;14;18
101;101;8111;60;1332;store a part from stopper 2;211;12.05.2021;11:22:57;12.05.2021;11:23:09;5;1126;18
102;102;8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:12:19;12.05.2021;11:12:33;5;0;19
103;103;8111;20;1332;feed part from magazin;200;12.05.2021;11:13:00;12.05.2021;11:13:02;11;27;19
104;104;8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:27:34;12.05.2021;11:32:40;8;6;19
105;105;8111;40;1332;feed part from magazin;200;12.05.2021;11:33:31;12.05.2021;11:33:33;6;63;19
106;106;8111;50;1332;pressing for time in seconds;110;12.05.2021;11:33:46;12.05.2021;11:33:48;7;14;19
107;107;8111;60;1332;store a part from stopper 2;211;12.05.2021;11:35:51;12.05.2021;11:36:03;5;1126;19
108;108;8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:12:37;12.05.2021;11:12:51;5;0;20
109;109;8111;20;1332;feed part from magazin;200;12.05.2021;11:13:19;12.05.2021;11:13:21;11;27;20
110;110;8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:22:19;12.05.2021;11:23:58;8;6;20
111;111;8111;40;1332;feed part from magazin;200;12.05.2021;11:25:12;12.05.2021;11:25:15;6;63;20
112;112;8111;50;1332;pressing for time in seconds;110;12.05.2021;11:25:30;12.05.2021;11:25:32;7;14;20
113;113;8111;60;1332;store a part from stopper 2;211;12.05.2021;11:26:59;12.05.2021;11:27:11;5;1126;20
114;114;8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:13:54;12.05.2021;11:14:07;5;0;21
115;115;8111;20;1332;feed part from magazin;200;12.05.2021;11:14:35;12.05.2021;11:14:36;11;27;21
116;116;8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:20:17;12.05.2021;11:21:56;8;6;21
117;117;8111;40;1332;feed part from magazin;200;12.05.2021;11:22:42;12.05.2021;11:22:44;6;63;21
118;118;8111;50;1332;pressing for time in seconds;110;12.05.2021;11:22:57;12.05.2021;11:22:59;7;14;21
119;119;8111;60;1332;store a part from stopper 2;211;12.05.2021;11:25:38;12.05.2021;11:25:50;5;1126;21
120;120;8010;10;1333;release a defined part on stopper 1;212;12.05.2021;11:25:23;12.05.2021;11:25:37;5;0;22
121;121;8010;20;1333;feed part from magazin;200;12.05.2021;11:26:04;12.05.2021;11:26:06;11;27;22
122;122;8010;30;1333;assemble a PCB with one fuse left;302;12.05.2021;11:33:44;12.05.2021;11:35:52;8;6;22
123;123;8010;40;1333;feed part from magazin;200;12.05.2021;11:37:30;12.05.2021;11:37:32;6;63;22
124;124;8010;50;1333;pressing for time in seconds;110;12.05.2021;11:37:45;12.05.2021;11:37:48;7;14;22
