;index;Produktvariante;Prozessschritt;Auftragsnummer;Prozessbeschreibung;Prozessnummer;Startdatum;Startzeit;Enddatum;Endzeit;Arbeitsstation;Transportzeit;Start;Ende;werkstueckID
0;0;8010;10;1329;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:02:25;12.05.21;10:02:40;5;0;2021-12-05 10:02:25;2021-12-05 10:02:40;1
1;1;8010;20;1329;feed part from magazin;200;12.05.21;2022-09-22 10:03:07;12.05.21;10:03:09;11;27;2021-12-05 10:03:07;2021-12-05 10:03:09;1
2;2;8010;30;1329;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 10:04:45;12.05.21;10:06:28;8;6;2021-12-05 10:04:45;2021-12-05 10:06:28;1
3;3;8010;40;1329;feed part from magazin;200;12.05.21;2022-09-22 10:07:27;12.05.21;10:07:30;6;63;2021-12-05 10:07:27;2021-12-05 10:07:30;1
4;4;8010;50;1329;pressing for time in seconds;110;12.05.21;2022-09-22 10:07:43;12.05.21;10:07:45;7;14;2021-12-05 10:07:43;2021-12-05 10:07:45;1
5;5;8010;60;1329;store a part from stopper 2;211;12.05.21;2022-09-22 10:09:49;12.05.21;10:10:01;5;1126;2021-12-05 10:09:49;2021-12-05 10:10:01;1
6;6;8010;10;1329;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:02:43;12.05.21;10:02:56;5;0;2021-12-05 10:02:43;2021-12-05 10:02:56;2
7;7;8010;20;1329;feed part from magazin;200;12.05.21;2022-09-22 10:03:23;12.05.21;10:03:25;11;27;2021-12-05 10:03:23;2021-12-05 10:03:25;2
8;8;8010;30;1329;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 10:06:35;12.05.21;10:08:18;8;6;2021-12-05 10:06:35;2021-12-05 10:08:18;2
9;9;8010;40;1329;feed part from magazin;200;12.05.21;2022-09-22 10:09:28;12.05.21;10:09:30;6;63;2021-12-05 10:09:28;2021-12-05 10:09:30;2
10;10;8010;50;1329;pressing for time in seconds;110;12.05.21;2022-09-22 10:09:53;12.05.21;10:09:57;7;14;2021-12-05 10:09:53;2021-12-05 10:09:57;2
11;11;8010;60;1329;store a part from stopper 2;211;12.05.21;2022-09-22 10:11:51;12.05.21;10:12:03;5;1126;2021-12-05 10:11:51;2021-12-05 10:12:03;2
12;12;8010;10;1329;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:02:59;12.05.21;10:03:11;5;0;2021-12-05 10:02:59;2021-12-05 10:03:11;3
13;13;8010;20;1329;feed part from magazin;200;12.05.21;2022-09-22 10:03:38;12.05.21;10:03:41;11;27;2021-12-05 10:03:38;2021-12-05 10:03:41;3
14;14;8010;30;1329;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 10:08:22;12.05.21;10:10:05;8;6;2021-12-05 10:08:22;2021-12-05 10:10:05;3
15;15;8010;40;1329;feed part from magazin;200;12.05.21;2022-09-22 10:11:15;12.05.21;10:11:18;6;63;2021-12-05 10:11:15;2021-12-05 10:11:18;3
16;16;8010;50;1329;pressing for time in seconds;110;12.05.21;2022-09-22 10:11:36;12.05.21;10:11:43;7;14;2021-12-05 10:11:36;2021-12-05 10:11:43;3
17;17;8010;60;1329;store a part from stopper 2;211;12.05.21;2022-09-22 10:13:18;12.05.21;10:13:30;5;1126;2021-12-05 10:13:18;2021-12-05 10:13:30;3
18;18;8010;10;1329;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:03:15;12.05.21;10:03:28;5;0;2021-12-05 10:03:15;2021-12-05 10:03:28;4
19;19;8010;20;1329;feed part from magazin;200;12.05.21;2022-09-22 10:03:55;12.05.21;10:03:57;11;27;2021-12-05 10:03:55;2021-12-05 10:03:57;4
44;44;8010;30;1329;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 10:10:12;12.05.21;10:11:56;8;6;2021-12-05 10:10:12;2021-12-05 10:11:56;4
45;45;8010;40;1329;feed part from magazin;200;12.05.21;2022-09-22 10:13:00;12.05.21;10:13:02;6;63;2021-12-05 10:13:00;2021-12-05 10:13:02;4
46;46;8010;50;1329;pressing for time in seconds;110;12.05.21;2022-09-22 10:13:28;12.05.21;10:13:30;7;14;2021-12-05 10:13:28;2021-12-05 10:13:30;4
47;47;8010;60;1329;store a part from stopper 2;211;12.05.21;2022-09-22 10:15:02;12.05.21;10:15:14;5;1126;2021-12-05 10:15:02;2021-12-05 10:15:14;4
24;24;8010;10;1329;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:03:31;12.05.21;10:03:45;5;0;2021-12-05 10:03:31;2021-12-05 10:03:45;5
25;25;8010;20;1329;feed part from magazin;200;12.05.21;2022-09-22 10:04:12;12.05.21;10:04:14;11;27;2021-12-05 10:04:12;2021-12-05 10:04:14;5
20;20;8010;30;1329;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 10:12:01;12.05.21;10:13:44;8;6;2021-12-05 10:12:01;2021-12-05 10:13:44;5
21;21;8010;40;1329;feed part from magazin;200;12.05.21;2022-09-22 10:14:44;12.05.21;10:14:46;6;63;2021-12-05 10:14:44;2021-12-05 10:14:46;5
22;22;8010;50;1329;pressing for time in seconds;110;12.05.21;2022-09-22 10:15:08;12.05.21;10:15:12;7;14;2021-12-05 10:15:08;2021-12-05 10:15:12;5
23;23;8010;60;1329;store a part from stopper 2;211;12.05.21;2022-09-22 10:16:53;12.05.21;10:17:06;5;1126;2021-12-05 10:16:53;2021-12-05 10:17:06;5
30;30;8010;10;1329;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:03:49;12.05.21;10:04:02;5;0;2021-12-05 10:03:49;2021-12-05 10:04:02;6
31;31;8010;20;1329;feed part from magazin;200;12.05.21;2022-09-22 10:04:30;12.05.21;10:04:32;11;27;2021-12-05 10:04:30;2021-12-05 10:04:32;6
26;26;8010;30;1329;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 10:14:08;12.05.21;10:15:51;8;6;2021-12-05 10:14:08;2021-12-05 10:15:51;6
27;27;8010;40;1329;feed part from magazin;200;12.05.21;2022-09-22 10:16:41;12.05.21;10:16:44;6;63;2021-12-05 10:16:41;2021-12-05 10:16:44;6
28;28;8010;50;1329;pressing for time in seconds;110;12.05.21;2022-09-22 10:16:57;12.05.21;10:16:59;7;14;2021-12-05 10:16:57;2021-12-05 10:16:59;6
29;29;8010;60;1329;store a part from stopper 2;211;12.05.21;2022-09-22 10:18:40;12.05.21;10:18:52;5;1126;2021-12-05 10:18:40;2021-12-05 10:18:52;6
36;36;8010;10;1329;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:04:06;12.05.21;10:04:20;5;0;2021-12-05 10:04:06;2021-12-05 10:04:20;7
37;37;8010;20;1329;feed part from magazin;200;12.05.21;2022-09-22 10:04:47;12.05.21;10:04:49;11;27;2021-12-05 10:04:47;2021-12-05 10:04:49;7
56;56;8010;30;1329;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 10:15:55;12.05.21;10:17:38;8;6;2021-12-05 10:15:55;2021-12-05 10:17:38;7
57;57;8010;40;1329;feed part from magazin;200;12.05.21;2022-09-22 10:18:25;12.05.21;10:18:27;6;63;2021-12-05 10:18:25;2021-12-05 10:18:27;7
58;58;8010;50;1329;pressing for time in seconds;110;12.05.21;2022-09-22 10:18:42;12.05.21;10:18:44;7;14;2021-12-05 10:18:42;2021-12-05 10:18:44;7
59;59;8010;60;1329;store a part from stopper 2;211;12.05.21;2022-09-22 10:20:27;12.05.21;10:20:39;5;1126;2021-12-05 10:20:27;2021-12-05 10:20:39;7
42;42;8010;10;1329;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:04:24;12.05.21;10:04:38;5;0;2021-12-05 10:04:24;2021-12-05 10:04:38;8
43;43;8010;20;1329;feed part from magazin;200;12.05.21;2022-09-22 10:05:05;12.05.21;10:05:07;11;27;2021-12-05 10:05:05;2021-12-05 10:05:07;8
50;50;8010;30;1329;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 10:17:43;12.05.21;10:19:26;8;6;2021-12-05 10:17:43;2021-12-05 10:19:26;8
51;51;8010;40;1329;feed part from magazin;200;12.05.21;2022-09-22 10:20:09;12.05.21;10:20:11;6;63;2021-12-05 10:20:09;2021-12-05 10:20:11;8
52;52;8010;50;1329;pressing for time in seconds;110;12.05.21;2022-09-22 10:20:26;12.05.21;10:20:29;7;14;2021-12-05 10:20:26;2021-12-05 10:20:29;8
53;53;8010;60;1329;store a part from stopper 2;211;12.05.21;2022-09-22 10:22:35;12.05.21;10:22:47;5;1126;2021-12-05 10:22:35;2021-12-05 10:22:47;8
48;48;8010;10;1329;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:04:41;12.05.21;10:04:56;5;0;2021-12-05 10:04:41;2021-12-05 10:04:56;9
49;49;8010;20;1329;feed part from magazin;200;12.05.21;2022-09-22 10:05:23;12.05.21;10:05:25;11;27;2021-12-05 10:05:23;2021-12-05 10:05:25;9
38;38;8010;30;1329;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 10:19:30;12.05.21;10:21:13;8;6;2021-12-05 10:19:30;2021-12-05 10:21:13;9
39;39;8010;40;1329;feed part from magazin;200;12.05.21;2022-09-22 10:21:55;12.05.21;10:21:57;6;63;2021-12-05 10:21:55;2021-12-05 10:21:57;9
40;40;8010;50;1329;pressing for time in seconds;110;12.05.21;2022-09-22 10:22:13;12.05.21;10:22:15;7;14;2021-12-05 10:22:13;2021-12-05 10:22:15;9
41;41;8010;60;1329;store a part from stopper 2;211;12.05.21;2022-09-22 10:23:50;12.05.21;10:24:03;5;1126;2021-12-05 10:23:50;2021-12-05 10:24:03;9
54;54;8010;10;1329;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:05:00;12.05.21;10:05:15;5;0;2021-12-05 10:05:00;2021-12-05 10:05:15;10
55;55;8010;20;1329;feed part from magazin;200;12.05.21;2022-09-22 10:05:42;12.05.21;10:05:44;11;27;2021-12-05 10:05:42;2021-12-05 10:05:44;10
32;32;8010;30;1329;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 10:21:18;12.05.21;10:23:01;8;6;2021-12-05 10:21:18;2021-12-05 10:23:01;10
33;33;8010;40;1329;feed part from magazin;200;12.05.21;2022-09-22 10:24:29;12.05.21;10:24:31;6;63;2021-12-05 10:24:29;2021-12-05 10:24:31;10
