;level_0;Unnamed: 0;index;Produktvariante;Prozessschritt;Auftragsnummer;Prozessbeschreibung;Prozessnummer;Startdatum;Startzeit;Enddatum;Endzeit;Arbeitsstation;Transportzeit;Start;Ende;werkstueckID;Bearbeitungszeit_s;Transportzeit_s;Durchlaufzeit_s
0;0;0;0;8010;10;1329;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:02:25;12.05.21;10:02:40;5;0;2021-12-05 10:02:25;2021-12-05 10:02:40;1;15.000000000000002;0.0;0.0
1;1;1;1;8010;20;1329;feed part from magazin;200;12.05.21;2022-09-22 10:03:07;12.05.21;10:03:09;11;27;2021-12-05 10:03:07;2021-12-05 10:03:09;1;2.0;27.0;0.0
2;2;2;2;8010;30;1329;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 10:04:45;12.05.21;10:06:28;8;6;2021-12-05 10:04:45;2021-12-05 10:06:28;1;103.0;96.0;0.0
3;3;3;3;8010;40;1329;feed part from magazin;200;12.05.21;2022-09-22 10:07:27;12.05.21;10:07:30;6;63;2021-12-05 10:07:27;2021-12-05 10:07:30;1;3.0;59.00000000000001;0.0
4;4;4;4;8010;50;1329;pressing for time in seconds;110;12.05.21;2022-09-22 10:07:43;12.05.21;10:07:45;7;14;2021-12-05 10:07:43;2021-12-05 10:07:45;1;2.0;13.0;0.0
5;5;5;5;8010;60;1329;store a part from stopper 2;211;12.05.21;2022-09-22 10:09:49;12.05.21;10:10:01;5;1126;2021-12-05 10:09:49;2021-12-05 10:10:01;1;12.0;124.00000000000001;456.0
6;6;6;6;8010;10;1329;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:02:43;12.05.21;10:02:56;5;0;2021-12-05 10:02:43;2021-12-05 10:02:56;2;13.0;0.0;0.0
7;7;7;7;8010;20;1329;feed part from magazin;200;12.05.21;2022-09-22 10:03:23;12.05.21;10:03:25;11;27;2021-12-05 10:03:23;2021-12-05 10:03:25;2;2.0;27.0;0.0
8;8;8;8;8010;30;1329;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 10:06:35;12.05.21;10:08:18;8;6;2021-12-05 10:06:35;2021-12-05 10:08:18;2;103.0;190.0;0.0
9;9;9;9;8010;40;1329;feed part from magazin;200;12.05.21;2022-09-22 10:09:28;12.05.21;10:09:30;6;63;2021-12-05 10:09:28;2021-12-05 10:09:30;2;2.0;70.0;0.0
10;10;10;10;8010;50;1329;pressing for time in seconds;110;12.05.21;2022-09-22 10:09:53;12.05.21;10:09:57;7;14;2021-12-05 10:09:53;2021-12-05 10:09:57;2;4.0;23.0;0.0
11;11;11;11;8010;60;1329;store a part from stopper 2;211;12.05.21;2022-09-22 10:11:51;12.05.21;10:12:03;5;1126;2021-12-05 10:11:51;2021-12-05 10:12:03;2;12.0;114.0;560.0
