;;level_0;level_0;level_0;level_0;level_0;level_0;level_0;level_0;Unnamed: 0;Unnamed: 0;Unnamed: 0;Unnamed: 0;Unnamed: 0;Unnamed: 0;Unnamed: 0;Unnamed: 0;index;index;index;index;index;index;index;index;Auftragsnummer;Auftragsnummer;Auftragsnummer;Auftragsnummer;Auftragsnummer;Auftragsnummer;Auftragsnummer;Auftragsnummer;Prozessnummer;Prozessnummer;Prozessnummer;Prozessnummer;Prozessnummer;Prozessnummer;Prozessnummer;Prozessnummer;Arbeitsstation;Arbeitsstation;Arbeitsstation;Arbeitsstation;Arbeitsstation;Arbeitsstation;Arbeitsstation;Arbeitsstation;Transportzeit;Transportzeit;Transportzeit;Transportzeit;Transportzeit;Transportzeit;Transportzeit;Transportzeit;werkstueckID;werkstueckID;werkstueckID;werkstueckID;werkstueckID;werkstueckID;werkstueckID;werkstueckID;Bearbeitungszeit_s;Bearbeitungszeit_s;Bearbeitungszeit_s;Bearbeitungszeit_s;Bearbeitungszeit_s;Bearbeitungszeit_s;Bearbeitungszeit_s;Bearbeitungszeit_s;Transportzeit_s;Transportzeit_s;Transportzeit_s;Transportzeit_s;Transportzeit_s;Transportzeit_s;Transportzeit_s;Transportzeit_s;Durchlaufzeit_s;Durchlaufzeit_s;Durchlaufzeit_s;Durchlaufzeit_s;Durchlaufzeit_s;Durchlaufzeit_s;Durchlaufzeit_s;Durchlaufzeit_s
;;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max
Prozessschritt;Produktvariante;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;8010;59.0;605.0847457627119;414.4986705247009;0.0;252.0;612.0;969.0;1308.0;59.0;599.0847457627119;418.44388608005613;0.0;267.0;612.0;969.0;1308.0;59.0;599.0847457627119;418.44388608005613;0.0;267.0;612.0;969.0;1308.0;59.0;1346.1864406779662;12.773186592760991;1329.0;1334.0;1352.0;1358.0;1364.0;59.0;212.0;0.0;212.0;212.0;212.0;212.0;212.0;59.0;5.0;0.0;5.0;5.0;5.0;5.0;5.0;59.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.0;101.84745762711864;69.08311175411683;1.0;43.0;103.0;162.5;219.0;59.0;13.542372881355933;1.1036309024792086;12.0;13.0;14.0;14.0;16.0;59.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;8011;57.0;616.3157894736842;383.3176209049626;60.0;234.0;660.0;894.0;1266.0;57.0;627.2280701754386;369.93817135646657;60.0;252.0;660.0;894.0;1266.0;57.0;627.2280701754386;369.93817135646657;60.0;252.0;660.0;894.0;1266.0;57.0;1345.8245614035088;12.262199183753907;1330.0;1333.0;1353.0;1356.0;1363.0;57.0;212.0;0.0;212.0;212.0;212.0;212.0;212.0;57.0;5.0;0.0;5.0;5.0;5.0;5.0;5.0;57.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.0;103.71929824561404;63.886270150827094;11.0;40.0;111.0;150.0;212.0;57.0;13.824561403508772;1.2265341270883097;11.0;13.0;14.0;15.000000000000002;16.0;57.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;8110;47.0;758.4255319148937;321.613577522768;270.0;519.0;750.0;999.0;1290.0;47.0;741.6170212765958;330.95103757080926;150.0;430.0;750.0;999.0;1278.0;47.0;741.6170212765958;330.95103757080926;150.0;430.0;750.0;999.0;1278.0;47.0;1349.404255319149;10.862099193522255;1334.0;1338.0;1354.0;1358.0;1363.0;47.0;212.0;0.0;212.0;212.0;212.0;212.0;212.0;47.0;5.0;0.0;5.0;5.0;5.0;5.0;5.0;47.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.0;127.40425531914893;53.60226292046134;46.0;87.5;126.0;167.5;216.0;47.0;13.74468085106383;1.010124510327553;12.0;13.0;14.0;14.0;16.0;47.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;8111;56.0;656.25;377.157611134077;120.0;262.5;783.0;955.5;1278.0;56.0;659.4464285714286;387.66301765804315;78.0;264.5;783.0;978.0;1290.0;56.0;659.4464285714286;387.66301765804315;78.0;264.5;783.0;978.0;1290.0;56.0;1346.6607142857142;12.051822624459273;1332.0;1334.0;1355.0;1357.5;1363.0;56.0;212.0;0.0;212.0;212.0;212.0;212.0;212.0;56.0;5.0;0.0;5.0;5.0;5.0;5.0;5.0;56.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.0;110.375;62.8596018556795;21.0;44.75;131.5;160.25;214.0;56.0;14.0;0.914529188360676;12.0;13.0;14.0;15.000000000000002;16.0;56.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;8010;59.0;606.0847457627119;414.4986705247009;1.0;253.0;613.0;970.0;1309.0;59.0;601.5084745762712;417.77829349207485;1.0;268.0;613.0;970.0;1309.0;59.0;601.5084745762712;417.77829349207485;1.0;268.0;613.0;970.0;1309.0;59.0;1346.1864406779662;12.773186592760991;1329.0;1334.0;1352.0;1358.0;1364.0;59.0;200.0;0.0;200.0;200.0;200.0;200.0;200.0;59.0;11.0;0.0;11.0;11.0;11.0;11.0;11.0;59.0;27.0;0.0;27.0;27.0;27.0;27.0;27.0;59.0;101.84745762711864;69.08311175411683;1.0;43.0;103.0;162.5;219.0;59.0;1.8983050847457628;0.443143755543444;1.0;2.0;2.0;2.0;3.0;59.0;26.89830508474576;0.5475624749188144;25.0;27.0;27.0;27.0;28.0;59.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;8011;57.0;617.3157894736842;383.3176209049626;61.0;235.0;661.0;895.0;1267.0;57.0;630.3859649122807;368.7139693964282;61.0;253.0;661.0;895.0;1267.0;57.0;630.3859649122807;368.7139693964282;61.0;253.0;661.0;895.0;1267.0;57.0;1345.8245614035088;12.262199183753907;1330.0;1333.0;1353.0;1356.0;1363.0;57.0;200.0;0.0;200.0;200.0;200.0;200.0;200.0;57.0;11.0;0.0;11.0;11.0;11.0;11.0;11.0;57.0;27.0;0.0;27.0;27.0;27.0;27.0;27.0;57.0;103.71929824561404;63.886270150827094;11.0;40.0;111.0;150.0;212.0;57.0;2.508771929824561;4.412331773472841;1.0;2.0;2.0;2.0;35.0;57.0;26.771929824561404;0.5351082620650945;26.0;26.0;27.0;27.0;28.0;57.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;8110;47.0;759.4255319148937;321.613577522768;271.0;520.0;751.0;1000.0;1291.0;47.0;745.063829787234;326.62898805401176;272.0;431.0;751.0;1000.0;1279.0;47.0;745.063829787234;326.62898805401176;272.0;431.0;751.0;1000.0;1279.0;47.0;1349.404255319149;10.862099193522255;1334.0;1338.0;1354.0;1358.0;1363.0;47.0;200.0;0.0;200.0;200.0;200.0;200.0;200.0;47.0;11.0;0.0;11.0;11.0;11.0;11.0;11.0;47.0;27.0;0.0;27.0;27.0;27.0;27.0;27.0;47.0;127.40425531914893;53.60226292046134;46.0;87.5;126.0;167.5;216.0;47.0;1.9574468085106382;0.549997897565572;1.0;2.0;2.0;2.0;3.0;47.0;29.70212765957447;8.477373705332948;26.0;27.0;27.0;27.0;57.0;47.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;8111;56.0;657.25;377.157611134077;121.0;263.5;784.0;956.5;1279.0;56.0;660.4464285714286;387.66301765804315;79.0;265.5;784.0;979.0;1291.0;56.0;660.4464285714286;387.66301765804315;79.0;265.5;784.0;979.0;1291.0;56.0;1346.6607142857142;12.051822624459273;1332.0;1334.0;1355.0;1357.5;1363.0;56.0;200.0;0.0;200.0;200.0;200.0;200.0;200.0;56.0;11.0;0.0;11.0;11.0;11.0;11.0;11.0;56.0;27.0;0.0;27.0;27.0;27.0;27.0;27.0;56.0;110.375;62.8596018556795;21.0;44.75;131.5;160.25;214.0;56.0;1.9285714285714286;0.461505160303775;1.0;2.0;2.0;2.0;3.0;56.0;27.428571428571427;3.6474506307688515;26.0;27.0;27.0;27.0;54.0;56.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
