;level_0;Unnamed: 0;index;Produktvariante;Prozessschritt;Auftragsnummer;Prozessbeschreibung;Prozessnummer;Startdatum;Startzeit;Enddatum;Endzeit;Arbeitsstation;Transportzeit;Start;Ende;werkstueckID
0;0;0;0;8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:02:25;12.05.2021;10:02:40;5;0;05.12.2021 10:02;05.12.2021 10:02;1
1;1;1;1;8010;20;1329;feed part from magazin;200;12.05.2021;10:03:07;12.05.2021;10:03:09;11;27;05.12.2021 10:03;05.12.2021 10:03;1
2;2;2;2;8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:04:45;12.05.2021;10:06:28;8;6;05.12.2021 10:04;05.12.2021 10:06;1
3;3;3;3;8010;40;1329;feed part from magazin;200;12.05.2021;10:07:27;12.05.2021;10:07:30;6;63;05.12.2021 10:07;05.12.2021 10:07;1
4;4;4;4;8010;50;1329;pressing for time in seconds;110;12.05.2021;10:07:43;12.05.2021;10:07:45;7;14;05.12.2021 10:07;05.12.2021 10:07;1
5;5;5;5;8010;60;1329;store a part from stopper 2;211;12.05.2021;10:09:49;12.05.2021;10:10:01;5;1126;05.12.2021 10:09;05.12.2021 10:10;1
6;6;6;6;8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:02:43;12.05.2021;10:02:56;5;0;05.12.2021 10:02;05.12.2021 10:02;2
7;7;7;7;8010;20;1329;feed part from magazin;200;12.05.2021;10:03:23;12.05.2021;10:03:25;11;27;05.12.2021 10:03;05.12.2021 10:03;2
8;8;8;8;8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:06:35;12.05.2021;10:08:18;8;6;05.12.2021 10:06;05.12.2021 10:08;2
9;9;9;9;8010;40;1329;feed part from magazin;200;12.05.2021;10:09:28;12.05.2021;10:09:30;6;63;05.12.2021 10:09;05.12.2021 10:09;2
10;10;10;10;8010;50;1329;pressing for time in seconds;110;12.05.2021;10:09:53;12.05.2021;10:09:57;7;14;05.12.2021 10:09;05.12.2021 10:09;2
11;11;11;11;8010;60;1329;store a part from stopper 2;211;12.05.2021;10:11:51;12.05.2021;10:12:03;5;1126;05.12.2021 10:11;05.12.2021 10:12;2
12;12;12;12;8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:02:59;12.05.2021;10:03:11;5;0;05.12.2021 10:02;05.12.2021 10:03;3
13;13;13;13;8010;20;1329;feed part from magazin;200;12.05.2021;10:03:38;12.05.2021;10:03:41;11;27;05.12.2021 10:03;05.12.2021 10:03;3
14;14;14;14;8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:08:22;12.05.2021;10:10:05;8;6;05.12.2021 10:08;05.12.2021 10:10;3
15;15;15;15;8010;40;1329;feed part from magazin;200;12.05.2021;10:11:15;12.05.2021;10:11:18;6;63;05.12.2021 10:11;05.12.2021 10:11;3
16;16;16;16;8010;50;1329;pressing for time in seconds;110;12.05.2021;10:11:36;12.05.2021;10:11:43;7;14;05.12.2021 10:11;05.12.2021 10:11;3
17;17;17;17;8010;60;1329;store a part from stopper 2;211;12.05.2021;10:13:18;12.05.2021;10:13:30;5;1126;05.12.2021 10:13;05.12.2021 10:13;3
18;18;18;18;8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:03:15;12.05.2021;10:03:28;5;0;05.12.2021 10:03;05.12.2021 10:03;4
19;19;19;19;8010;20;1329;feed part from magazin;200;12.05.2021;10:03:55;12.05.2021;10:03:57;11;27;05.12.2021 10:03;05.12.2021 10:03;4
20;20;20;44;8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:10:12;12.05.2021;10:11:56;8;6;05.12.2021 10:10;05.12.2021 10:11;4
21;21;21;45;8010;40;1329;feed part from magazin;200;12.05.2021;10:13:00;12.05.2021;10:13:02;6;63;05.12.2021 10:13;05.12.2021 10:13;4
22;22;22;46;8010;50;1329;pressing for time in seconds;110;12.05.2021;10:13:28;12.05.2021;10:13:30;7;14;05.12.2021 10:13;05.12.2021 10:13;4
23;23;23;47;8010;60;1329;store a part from stopper 2;211;12.05.2021;10:15:02;12.05.2021;10:15:14;5;1126;05.12.2021 10:15;05.12.2021 10:15;4
24;24;28;24;8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:03:31;12.05.2021;10:03:45;5;0;05.12.2021 10:03;05.12.2021 10:03;5
25;25;29;25;8010;20;1329;feed part from magazin;200;12.05.2021;10:04:12;12.05.2021;10:04:14;11;27;05.12.2021 10:04;05.12.2021 10:04;5
26;26;24;20;8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:12:01;12.05.2021;10:13:44;8;6;05.12.2021 10:12;05.12.2021 10:13;5
27;27;25;21;8010;40;1329;feed part from magazin;200;12.05.2021;10:14:44;12.05.2021;10:14:46;6;63;05.12.2021 10:14;05.12.2021 10:14;5
28;28;26;22;8010;50;1329;pressing for time in seconds;110;12.05.2021;10:15:08;12.05.2021;10:15:12;7;14;05.12.2021 10:15;05.12.2021 10:15;5
29;29;27;23;8010;60;1329;store a part from stopper 2;211;12.05.2021;10:16:53;12.05.2021;10:17:06;5;1126;05.12.2021 10:16;05.12.2021 10:17;5
30;30;34;30;8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:03:49;12.05.2021;10:04:02;5;0;05.12.2021 10:03;05.12.2021 10:04;6
31;31;35;31;8010;20;1329;feed part from magazin;200;12.05.2021;10:04:30;12.05.2021;10:04:32;11;27;05.12.2021 10:04;05.12.2021 10:04;6
32;32;30;26;8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:14:08;12.05.2021;10:15:51;8;6;05.12.2021 10:14;05.12.2021 10:15;6
33;33;31;27;8010;40;1329;feed part from magazin;200;12.05.2021;10:16:41;12.05.2021;10:16:44;6;63;05.12.2021 10:16;05.12.2021 10:16;6
34;34;32;28;8010;50;1329;pressing for time in seconds;110;12.05.2021;10:16:57;12.05.2021;10:16:59;7;14;05.12.2021 10:16;05.12.2021 10:16;6
35;35;33;29;8010;60;1329;store a part from stopper 2;211;12.05.2021;10:18:40;12.05.2021;10:18:52;5;1126;05.12.2021 10:18;05.12.2021 10:18;6
36;36;36;36;8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:04:06;12.05.2021;10:04:20;5;0;05.12.2021 10:04;05.12.2021 10:04;7
37;37;37;37;8010;20;1329;feed part from magazin;200;12.05.2021;10:04:47;12.05.2021;10:04:49;11;27;05.12.2021 10:04;05.12.2021 10:04;7
38;38;38;56;8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:15:55;12.05.2021;10:17:38;8;6;05.12.2021 10:15;05.12.2021 10:17;7
39;39;39;57;8010;40;1329;feed part from magazin;200;12.05.2021;10:18:25;12.05.2021;10:18:27;6;63;05.12.2021 10:18;05.12.2021 10:18;7
40;40;40;58;8010;50;1329;pressing for time in seconds;110;12.05.2021;10:18:42;12.05.2021;10:18:44;7;14;05.12.2021 10:18;05.12.2021 10:18;7
41;41;41;59;8010;60;1329;store a part from stopper 2;211;12.05.2021;10:20:27;12.05.2021;10:20:39;5;1126;05.12.2021 10:20;05.12.2021 10:20;7
42;42;42;42;8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:04:24;12.05.2021;10:04:38;5;0;05.12.2021 10:04;05.12.2021 10:04;8
43;43;43;43;8010;20;1329;feed part from magazin;200;12.05.2021;10:05:05;12.05.2021;10:05:07;11;27;05.12.2021 10:05;05.12.2021 10:05;8
44;44;44;50;8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:17:43;12.05.2021;10:19:26;8;6;05.12.2021 10:17;05.12.2021 10:19;8
45;45;45;51;8010;40;1329;feed part from magazin;200;12.05.2021;10:20:09;12.05.2021;10:20:11;6;63;05.12.2021 10:20;05.12.2021 10:20;8
46;46;46;52;8010;50;1329;pressing for time in seconds;110;12.05.2021;10:20:26;12.05.2021;10:20:29;7;14;05.12.2021 10:20;05.12.2021 10:20;8
47;47;47;53;8010;60;1329;store a part from stopper 2;211;12.05.2021;10:22:35;12.05.2021;10:22:47;5;1126;05.12.2021 10:22;05.12.2021 10:22;8
48;48;52;48;8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:04:41;12.05.2021;10:04:56;5;0;05.12.2021 10:04;05.12.2021 10:04;9
49;49;53;49;8010;20;1329;feed part from magazin;200;12.05.2021;10:05:23;12.05.2021;10:05:25;11;27;05.12.2021 10:05;05.12.2021 10:05;9
50;50;48;38;8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:19:30;12.05.2021;10:21:13;8;6;05.12.2021 10:19;05.12.2021 10:21;9
51;51;49;39;8010;40;1329;feed part from magazin;200;12.05.2021;10:21:55;12.05.2021;10:21:57;6;63;05.12.2021 10:21;05.12.2021 10:21;9
52;52;50;40;8010;50;1329;pressing for time in seconds;110;12.05.2021;10:22:13;12.05.2021;10:22:15;7;14;05.12.2021 10:22;05.12.2021 10:22;9
53;53;51;41;8010;60;1329;store a part from stopper 2;211;12.05.2021;10:23:50;12.05.2021;10:24:03;5;1126;05.12.2021 10:23;05.12.2021 10:24;9
54;54;58;54;8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:05:00;12.05.2021;10:05:15;5;0;05.12.2021 10:05;05.12.2021 10:05;10
55;55;59;55;8010;20;1329;feed part from magazin;200;12.05.2021;10:05:42;12.05.2021;10:05:44;11;27;05.12.2021 10:05;05.12.2021 10:05;10
56;56;54;32;8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:21:18;12.05.2021;10:23:01;8;6;05.12.2021 10:21;05.12.2021 10:23;10
57;57;55;33;8010;40;1329;feed part from magazin;200;12.05.2021;10:24:29;12.05.2021;10:24:31;6;63;05.12.2021 10:24;05.12.2021 10:24;10
