Produktvariante;Prozessschritt;Auftragsnummer;Prozessbeschreibung;Prozessnummer;Startdatum;Startzeit;Enddatum;Endzeit;Arbeitsstation;Transportzeit
8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:02:25;12.05.2021;10:02:40;5;0
8010;20;1329;feed part from magazin;200;12.05.2021;10:03:07;12.05.2021;10:03:09;11;27
8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:04:45;12.05.2021;10:06:28;8;6
8010;40;1329;feed part from magazin;200;12.05.2021;10:07:27;12.05.2021;10:07:30;6;63
8010;50;1329;pressing for time in seconds;110;12.05.2021;10:07:43;12.05.2021;10:07:45;7;14
8010;60;1329;store a part from stopper 2;211;12.05.2021;10:09:49;12.05.2021;10:10:01;5;1126
8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:02:43;12.05.2021;10:02:56;5;0
8010;20;1329;feed part from magazin;200;12.05.2021;10:03:23;12.05.2021;10:03:25;11;27
8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:06:35;12.05.2021;10:08:18;8;6
8010;40;1329;feed part from magazin;200;12.05.2021;10:09:28;12.05.2021;10:09:30;6;63
8010;50;1329;pressing for time in seconds;110;12.05.2021;10:09:53;12.05.2021;10:09:57;7;14
8010;60;1329;store a part from stopper 2;211;12.05.2021;10:11:51;12.05.2021;10:12:03;5;1126
8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:02:59;12.05.2021;10:03:11;5;0
8010;20;1329;feed part from magazin;200;12.05.2021;10:03:38;12.05.2021;10:03:41;11;27
8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:08:22;12.05.2021;10:10:05;8;6
8010;40;1329;feed part from magazin;200;12.05.2021;10:11:15;12.05.2021;10:11:18;6;63
8010;50;1329;pressing for time in seconds;110;12.05.2021;10:11:36;12.05.2021;10:11:43;7;14
8010;60;1329;store a part from stopper 2;211;12.05.2021;10:13:18;12.05.2021;10:13:30;5;1126
8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:03:15;12.05.2021;10:03:28;5;0
8010;20;1329;feed part from magazin;200;12.05.2021;10:03:55;12.05.2021;10:03:57;11;27
8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:12:01;12.05.2021;10:13:44;8;6
8010;40;1329;feed part from magazin;200;12.05.2021;10:14:44;12.05.2021;10:14:46;6;63
8010;50;1329;pressing for time in seconds;110;12.05.2021;10:15:08;12.05.2021;10:15:12;7;14
8010;60;1329;store a part from stopper 2;211;12.05.2021;10:16:53;12.05.2021;10:17:06;5;1126
8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:03:31;12.05.2021;10:03:45;5;0
8010;20;1329;feed part from magazin;200;12.05.2021;10:04:12;12.05.2021;10:04:14;11;27
